term;category_code;category_de;category_en;dereko_frequency
-etage;SCAN;Skandalisierung;Scandalization;NA
#abgase;SCAN;Skandalisierung;Scandalization;NA
#kreuzfahrtschiffe;SCAN;Skandalisierung;Scandalization;NA
#schwerölverbrennung;SCAN;Skandalisierung;Scandalization;NA
#umweltskandal;SCAN;Skandalisierung;Scandalization;NA
19jährigen;SCAN;Skandalisierung;Scandalization;7610,00000000000
8000qm;SCAN;Skandalisierung;Scandalization;NA
abartig;SCAN;Skandalisierung;Scandalization;NA
abartige;SCAN;Skandalisierung;Scandalization;NA
abartigen;SCAN;Skandalisierung;Scandalization;NA
abartiger;SCAN;Skandalisierung;Scandalization;NA
abartigste;SCAN;Skandalisierung;Scandalization;NA
abartigsten;SCAN;Skandalisierung;Scandalization;NA
abartigster;SCAN;Skandalisierung;Scandalization;NA
abartigstes;SCAN;Skandalisierung;Scandalization;NA
aberkannt;SCAN;Skandalisierung;Scandalization;21347,00000000000
aberkennen;SCAN;Skandalisierung;Scandalization;NA
abgekanzelt;SCAN;Skandalisierung;Scandalization;NA
abgekanzelte;SCAN;Skandalisierung;Scandalization;NA
abgekanzelten;SCAN;Skandalisierung;Scandalization;NA
abgekanzelter;SCAN;Skandalisierung;Scandalization;NA
abgekanzeltes;SCAN;Skandalisierung;Scandalization;NA
abgeknallt;SCAN;Skandalisierung;Scandalization;NA
abgelehnt;SCAN;Skandalisierung;Scandalization;182045,73669749987
abgelehnte;SCAN;Skandalisierung;Scandalization;8993,00000000000
abgelehnten;SCAN;Skandalisierung;Scandalization;9317,00000000000
abgelehnter;SCAN;Skandalisierung;Scandalization;NA
abgesetzt;SCAN;Skandalisierung;Scandalization;81201,00000000000
abgestraft;SCAN;Skandalisierung;Scandalization;6752,13975400022
abgestritten;SCAN;Skandalisierung;Scandalization;5957,00000000000
abgestrittene;SCAN;Skandalisierung;Scandalization;NA
abgestrittener;SCAN;Skandalisierung;Scandalization;NA
abgestrittenes;SCAN;Skandalisierung;Scandalization;NA
abkanzeln;SCAN;Skandalisierung;Scandalization;NA
abkanzelt;SCAN;Skandalisierung;Scandalization;NA
abknallen;SCAN;Skandalisierung;Scandalization;NA
ablehne;SCAN;Skandalisierung;Scandalization;6962,00000000000
ablehnen;SCAN;Skandalisierung;Scandalization;37563,39248048913
ablehnend;SCAN;Skandalisierung;Scandalization;16552,00000000000
ablehnende;SCAN;Skandalisierung;Scandalization;15027,00000000000
ablehnt;SCAN;Skandalisierung;Scandalization;35433,00000000000
abnormale;SCAN;Skandalisierung;Scandalization;NA
abnormalen;SCAN;Skandalisierung;Scandalization;NA
abnormaler;SCAN;Skandalisierung;Scandalization;NA
abnormales;SCAN;Skandalisierung;Scandalization;NA
abnormalste;SCAN;Skandalisierung;Scandalization;NA
abnormalsten;SCAN;Skandalisierung;Scandalization;NA
abnormalster;SCAN;Skandalisierung;Scandalization;NA
abscheulich;SCAN;Skandalisierung;Scandalization;NA
abscheuliche;SCAN;Skandalisierung;Scandalization;NA
abscheulichen;SCAN;Skandalisierung;Scandalization;NA
abscheulicher;SCAN;Skandalisierung;Scandalization;NA
abscheuliches;SCAN;Skandalisierung;Scandalization;NA
abscheulichste;SCAN;Skandalisierung;Scandalization;NA
abscheulichsten;SCAN;Skandalisierung;Scandalization;NA
abscheulichster;SCAN;Skandalisierung;Scandalization;NA
abscheulichstes;SCAN;Skandalisierung;Scandalization;NA
absetzten;SCAN;Skandalisierung;Scandalization;NA
absetzung;SCAN;Skandalisierung;Scandalization;23845,00000000000
absolut;SCAN;Skandalisierung;Scandalization;96046,81325233336
absolute;SCAN;Skandalisierung;Scandalization;60558,92617900000
absoluten;SCAN;Skandalisierung;Scandalization;93189,00000000000
absoluter;SCAN;Skandalisierung;Scandalization;25559,94546949974
absolutes;SCAN;Skandalisierung;Scandalization;28434,00000000000
abstrafen;SCAN;Skandalisierung;Scandalization;NA
abstreite;SCAN;Skandalisierung;Scandalization;NA
abstreiten;SCAN;Skandalisierung;Scandalization;4628,26133499995
abstreitende;SCAN;Skandalisierung;Scandalization;NA
abstreitendes;SCAN;Skandalisierung;Scandalization;NA
abstreitet;SCAN;Skandalisierung;Scandalization;NA
abstritt;SCAN;Skandalisierung;Scandalization;NA
abstruse;SCAN;Skandalisierung;Scandalization;4174,00000000000
abstrusen;SCAN;Skandalisierung;Scandalization;4674,00000000000
absurd;SCAN;Skandalisierung;Scandalization;33055,00000000000
absurde;SCAN;Skandalisierung;Scandalization;19668,00000000000
absurden;SCAN;Skandalisierung;Scandalization;17820,00000000000
absurder;SCAN;Skandalisierung;Scandalization;NA
absurdum;SCAN;Skandalisierung;Scandalization;13673,00000000000
abwehren;SCAN;Skandalisierung;Scandalization;15932,51335299870
abzukanzeln;SCAN;Skandalisierung;Scandalization;NA
abzustreiten;SCAN;Skandalisierung;Scandalization;NA
abzustreitende;SCAN;Skandalisierung;Scandalization;NA
abzustreitenden;SCAN;Skandalisierung;Scandalization;NA
aggressor;SCAN;Skandalisierung;Scandalization;4274,00000000000
aggressoren;SCAN;Skandalisierung;Scandalization;NA
