term,freq_total,"Achtung, Reichelt!",AFD TV,AUF1,COMPACTTV,Junge Freiheit,Kanal Schnellroda,SchrangTV,category_code,dereko_frequency
afd,10304,237,5283,464,3382,728,155,55,NAT,7226.19412199981
sage,4980,188,2196,420,1165,274,53,684,NAT,85270.31666650015
halt,4776,273,1050,791,1690,448,236,288,EXPO,98282.01385327018
halt,4776,273,1050,791,1690,448,236,288,ELIT,98282.01385327018
halt,4776,273,1050,791,1690,448,236,288,ISLA,98282.01385327018
schauen,3778,942,1344,234,829,252,37,140,EXPO,64048.17460217741
schauen,3778,942,1344,234,829,252,37,140,ELIT,64048.17460217741
schauen,3778,942,1344,234,829,252,37,140,APOC,64048.17460217741
linke,3114,233,1638,47,861,230,62,43,ELIT,93191.60085831015
linke,3114,233,1638,47,861,230,62,43,GEND,93191.60085831015
quasi,2925,98,677,245,747,346,51,761,SUSP,97801.0
raus,2706,130,668,217,984,136,61,510,SCAN,74679.51578300647
raus,2706,130,668,217,984,136,61,510,ELIT,74679.51578300647
raus,2706,130,668,217,984,136,61,510,ISLA,74679.51578300647
letztendlich,2245,16,533,122,267,110,6,1191,SCAN,64961.0
inflation,2072,225,1375,65,216,153,13,25,APOC,91737.0
gas,2066,253,1212,23,422,110,3,43,ASEM,88674.09393551033
dran,2030,83,583,145,703,115,64,337,ELIT,98911.46126901415
dran,2030,83,583,145,703,115,64,337,NAT,98911.46126901415
wählen,2012,238,1039,77,477,119,22,40,DIST,74010.54768796866
wählen,2012,238,1039,77,477,119,22,40,ELIT,74010.54768796866
ehrlich,1970,103,1003,118,443,109,20,174,EXPO,81696.0
ehrlich,1970,103,1003,118,443,109,20,174,ELIT,81696.0
gibt's,1840,48,259,436,720,70,125,182,SCAN,95328.22902500002
kriegen,1787,140,597,142,681,94,21,112,SCAN,43092.96060533346
kriegen,1787,140,597,142,681,94,21,112,CONS,43092.96060533346
kriegen,1787,140,597,142,681,94,21,112,ELIT,43092.96060533346
kriegen,1787,140,597,142,681,94,21,112,APOC,43092.96060533346
kriegen,1787,140,597,142,681,94,21,112,PROT,43092.96060533346
kriegen,1787,140,597,142,681,94,21,112,NAT,43092.96060533346
verfassungsschutz,1780,110,784,84,641,127,5,29,SUSP,75029.0
absolut,1777,137,665,201,558,101,16,99,SCAN,96046.81325233336
absolut,1777,137,665,201,558,101,16,99,SUSP,96046.81325233336
absolut,1777,137,665,201,558,101,16,99,EXPO,96046.81325233336
absolut,1777,137,665,201,558,101,16,99,CONS,96046.81325233336
sowas,1750,165,377,217,572,113,116,190,SCAN,27974.04353933349
sowas,1750,165,377,217,572,113,116,190,EXPO,27974.04353933349
sowas,1750,165,377,217,572,113,116,190,CONS,27974.04353933349
sowas,1750,165,377,217,572,113,116,190,ELIT,27974.04353933349
sowas,1750,165,377,217,572,113,116,190,PROT,27974.04353933349
sowas,1750,165,377,217,572,113,116,190,NAT,27974.04353933349
sowas,1750,165,377,217,572,113,116,190,ISLA,27974.04353933349
